[2023-07-06 18:25:33] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 45, Z= -750
[2023-07-06 18:25:33] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 46, Z= -750
[2023-07-06 18:25:33] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 47, Z= -750
[2023-07-06 18:25:33] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 48, Z= -750
[2023-07-06 18:25:33] [world] The Player <wqe123420> has placed COBBLESTONE at X= -843, Y= 49, Z= -750
[2023-07-06 18:25:39] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 47, Z= -311
[2023-07-06 18:25:39] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 48, Z= -311
[2023-07-06 18:25:39] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 49, Z= -311
[2023-07-06 18:25:40] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 50, Z= -311
[2023-07-06 18:25:40] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 51, Z= -311
[2023-07-06 18:25:41] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 52, Z= -311
[2023-07-06 18:25:41] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 53, Z= -311
[2023-07-06 18:25:41] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 54, Z= -311
[2023-07-06 18:25:41] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 55, Z= -311
[2023-07-06 18:25:42] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 56, Z= -311
[2023-07-06 18:25:42] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 57, Z= -311
[2023-07-06 18:25:42] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 58, Z= -311
[2023-07-06 18:25:43] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 59, Z= -311
[2023-07-06 18:25:43] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 60, Z= -311
[2023-07-06 18:25:43] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 61, Z= -311
[2023-07-06 18:25:48] [world] The Player <Enderlava> has placed COBBLESTONE at X= -224, Y= 62, Z= -311
[2023-07-06 18:28:19] [world] The Player <Funget114514> has placed END_ROD at X= 4, Y= 114, Z= 15
[2023-07-06 18:31:35] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -20, Y= 79, Z= -213
[2023-07-06 18:32:30] [world] The Player <Enderlava> has placed FIRE at X= -30, Y= 77, Z= -214
[2023-07-06 18:32:46] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -20, Y= 79, Z= -213
[2023-07-06 18:32:57] [world] The Player <Funget114514> has placed GLASS at X= -24, Y= 64, Z= -280
