[2023-07-23 15:09:03] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 56, Z= 0
[2023-07-23 15:09:03] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 56, Z= 1
[2023-07-23 15:09:04] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 56, Z= -2
[2023-07-23 15:09:05] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 56, Z= -1
[2023-07-23 15:09:05] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 57, Z= -2
[2023-07-23 15:09:05] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 57, Z= -1
[2023-07-23 15:09:05] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 57, Z= 0
[2023-07-23 15:09:07] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 59, Z= -1
[2023-07-23 15:09:07] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 59, Z= 0
[2023-07-23 15:09:08] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 58, Z= -2
[2023-07-23 15:09:08] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 58, Z= -1
[2023-07-23 15:09:08] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 58, Z= 0
[2023-07-23 15:09:09] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 57, Z= 2
[2023-07-23 15:09:09] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 57, Z= 1
[2023-07-23 15:09:09] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 58, Z= 1
[2023-07-23 15:09:09] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 58, Z= 2
[2023-07-23 15:10:51] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -2, Y= 55, Z= -7
[2023-07-23 15:10:54] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -4, Y= 57, Z= -12
[2023-07-23 15:10:54] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -4, Y= 58, Z= -12
[2023-07-23 15:10:54] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -4, Y= 57, Z= -11
[2023-07-23 15:10:54] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -4, Y= 58, Z= -11
[2023-07-23 15:10:55] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -2, Y= 57, Z= -10
[2023-07-23 15:10:55] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -3, Y= 57, Z= -10
[2023-07-23 15:10:56] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -2, Y= 58, Z= -10
[2023-07-23 15:10:56] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -3, Y= 58, Z= -10
[2023-07-23 15:10:57] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -4, Y= 57, Z= -10
[2023-07-23 15:10:57] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -4, Y= 58, Z= -10
[2023-07-23 15:10:57] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -4, Y= 57, Z= -9
[2023-07-23 15:10:57] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -4, Y= 58, Z= -9
[2023-07-23 15:10:58] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -4, Y= 57, Z= -8
[2023-07-23 15:10:59] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -4, Y= 58, Z= -8
[2023-07-23 15:11:00] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -2, Y= 57, Z= -9
[2023-07-23 15:11:00] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -2, Y= 58, Z= -9
[2023-07-23 15:11:01] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -2, Y= 57, Z= -8
[2023-07-23 15:11:01] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -2, Y= 58, Z= -8
[2023-07-23 15:11:06] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 56, Z= -8
[2023-07-23 15:11:14] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 1, Y= 56, Z= -9
[2023-07-23 15:11:14] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 56, Z= -9
[2023-07-23 15:11:15] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -1, Y= 56, Z= -8
[2023-07-23 15:11:58] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 6, Y= 62, Z= -7
[2023-07-23 15:14:32] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 14, Y= 61, Z= 1
[2023-07-23 15:14:34] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 61, Z= -2
[2023-07-23 15:14:34] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 61, Z= -1
[2023-07-23 15:14:35] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 19, Y= 61, Z= -1
[2023-07-23 15:14:35] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 19, Y= 61, Z= 0
[2023-07-23 15:14:36] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 61, Z= -1
[2023-07-23 15:14:36] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 60, Z= 0
[2023-07-23 15:14:36] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 17, Y= 60, Z= 0
[2023-07-23 15:14:37] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 61, Z= 0
[2023-07-23 15:14:38] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 19, Y= 61, Z= 3
[2023-07-23 15:14:38] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 19, Y= 61, Z= 2
[2023-07-23 15:14:38] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 59, Z= 3
[2023-07-23 15:14:39] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 60, Z= 3
[2023-07-23 15:14:39] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 61, Z= 5
[2023-07-23 15:14:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 18, Y= 61, Z= 4
