[2023-07-10 09:26:28] [world] The Player <Enderlava> has placed OBSERVER at X= -843, Y= 94, Z= -730
[2023-07-10 09:26:42] [world] The Player <Enderlava> has placed TNT at X= -844, Y= 94, Z= -730
[2023-07-10 09:26:49] [world] The Player <Enderlava> has placed PISTON at X= -846, Y= 94, Z= -730
[2023-07-10 09:26:54] [world] The Player <Enderlava> has placed GLASS at X= -844, Y= 93, Z= -730
[2023-07-10 09:26:59] [world] The Player <Enderlava> has placed GLASS at X= -843, Y= 93, Z= -729
[2023-07-10 09:26:59] [world] The Player <Enderlava> has placed GLASS at X= -844, Y= 93, Z= -729
[2023-07-10 09:27:00] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 93, Z= -729
[2023-07-10 09:27:13] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 94, Z= -729
[2023-07-10 09:27:14] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 95, Z= -729
[2023-07-10 09:27:57] [world] The Player <Enderlava> has placed COBBLESTONE at X= -842, Y= 94, Z= -731
[2023-07-10 09:27:58] [world] The Player <Enderlava> has placed COBBLESTONE at X= -843, Y= 94, Z= -731
[2023-07-10 09:28:27] [world] The Player <Enderlava> has placed COMPARATOR at X= -839, Y= 95, Z= -733
[2023-07-10 09:28:40] [world] The Player <Enderlava> has placed REPEATER at X= -839, Y= 95, Z= -733
[2023-07-10 09:28:43] [world] The Player <Enderlava> has placed REPEATER at X= -839, Y= 95, Z= -734
[2023-07-10 09:28:49] [world] The Player <Enderlava> has placed REDSTONE_WALL_TORCH at X= -839, Y= 95, Z= -735
[2023-07-10 09:28:52] [world] The Player <Enderlava> has placed REPEATER at X= -839, Y= 95, Z= -733
[2023-07-10 09:29:04] [world] The Player <Enderlava> has placed OBSERVER at X= -842, Y= 94, Z= -729
[2023-07-10 09:29:05] [world] The Player <Enderlava> has placed OBSERVER at X= -843, Y= 94, Z= -729
[2023-07-10 09:29:09] [world] The Player <Enderlava> has placed OBSERVER at X= -843, Y= 94, Z= -730
[2023-07-10 09:29:15] [world] The Player <Enderlava> has placed GLASS at X= -843, Y= 93, Z= -730
[2023-07-10 09:29:16] [world] The Player <Enderlava> has placed GLASS at X= -843, Y= 92, Z= -730
[2023-07-10 09:29:18] [world] The Player <Enderlava> has placed GLASS at X= -844, Y= 92, Z= -730
[2023-07-10 09:29:20] [world] The Player <Enderlava> has placed GLASS at X= -843, Y= 93, Z= -729
[2023-07-10 09:29:20] [world] The Player <Enderlava> has placed GLASS at X= -844, Y= 93, Z= -729
[2023-07-10 09:29:22] [world] The Player <Enderlava> has placed GLASS at X= -844, Y= 94, Z= -729
[2023-07-10 09:29:23] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 93, Z= -729
[2023-07-10 09:29:23] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 94, Z= -729
[2023-07-10 09:29:25] [world] The Player <Enderlava> has placed GLASS at X= -846, Y= 93, Z= -729
[2023-07-10 09:29:27] [world] The Player <Enderlava> has placed GLASS at X= -846, Y= 93, Z= -730
[2023-07-10 09:29:27] [world] The Player <Enderlava> has placed GLASS at X= -846, Y= 93, Z= -731
[2023-07-10 09:29:29] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 93, Z= -731
[2023-07-10 09:29:29] [world] The Player <Enderlava> has placed GLASS at X= -844, Y= 93, Z= -731
[2023-07-10 09:29:40] [world] The Player <Enderlava> has placed COBBLESTONE at X= -843, Y= 95, Z= -730
[2023-07-10 09:29:41] [world] The Player <Enderlava> has placed COBBLESTONE at X= -844, Y= 94, Z= -730
[2023-07-10 09:29:43] [world] The Player <Enderlava> has placed COBBLESTONE at X= -844, Y= 94, Z= -730
[2023-07-10 09:29:44] [world] The Player <Enderlava> has placed COBBLESTONE at X= -844, Y= 95, Z= -730
[2023-07-10 09:29:45] [world] The Player <Enderlava> has placed COBBLESTONE at X= -845, Y= 95, Z= -730
[2023-07-10 09:29:45] [world] The Player <Enderlava> has placed COBBLESTONE at X= -846, Y= 95, Z= -730
[2023-07-10 09:29:49] [world] The Player <Enderlava> has placed COBBLESTONE at X= -843, Y= 95, Z= -731
[2023-07-10 09:29:51] [world] The Player <Enderlava> has placed COBBLESTONE at X= -843, Y= 95, Z= -731
[2023-07-10 09:29:54] [world] The Player <Enderlava> has placed COBBLESTONE at X= -844, Y= 94, Z= -731
[2023-07-10 09:29:55] [world] The Player <Enderlava> has placed COBBLESTONE at X= -845, Y= 94, Z= -731
[2023-07-10 09:30:07] [world] The Player <Enderlava> has placed PISTON at X= -846, Y= 94, Z= -730
[2023-07-10 09:30:09] [world] The Player <Enderlava> has placed COBBLESTONE at X= -845, Y= 94, Z= -731
[2023-07-10 09:30:22] [world] The Player <Enderlava> has placed TNT at X= -844, Y= 94, Z= -730
[2023-07-10 09:30:40] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 95, Z= -730
[2023-07-10 09:30:43] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -844, Y= 94, Z= -731
[2023-07-10 09:30:44] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -843, Y= 95, Z= -731
[2023-07-10 09:30:44] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -843, Y= 96, Z= -730
[2023-07-10 09:30:45] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -844, Y= 96, Z= -730
[2023-07-10 09:30:45] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -845, Y= 96, Z= -730
[2023-07-10 09:30:45] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -846, Y= 96, Z= -730
[2023-07-10 09:30:57] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 93, Z= -729
[2023-07-10 09:30:57] [world] The Player <Enderlava> has placed GLASS at X= -845, Y= 94, Z= -729
[2023-07-10 09:31:06] [world] The Player <Enderlava> has placed OAK_FENCE_GATE at X= -845, Y= 92, Z= -730
