[2023-06-27 20:32:47] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -416, Y= 15, Z= -49
[2023-06-27 20:32:48] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -418, Y= 12, Z= -49
[2023-06-27 20:32:48] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -421, Y= 15, Z= -49
[2023-06-27 20:32:49] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -425, Y= 14, Z= -49
[2023-06-27 20:32:49] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -426, Y= 15, Z= -49
[2023-06-27 20:32:49] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -421, Y= 9, Z= -48
[2023-06-27 20:32:49] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -430, Y= 13, Z= -49
[2023-06-27 20:32:50] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -430, Y= 17, Z= -51
[2023-06-27 20:32:50] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -432, Y= 10, Z= -49
[2023-06-27 20:32:50] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -434, Y= 14, Z= -48
[2023-06-27 20:32:51] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -438, Y= 13, Z= -49
[2023-06-27 20:32:51] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -434, Y= 13, Z= -52
[2023-06-27 20:32:52] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -429, Y= 8, Z= -45
