[2023-07-21 16:39:57] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 17, Z= 322
[2023-07-21 16:40:15] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 16, Z= 329
[2023-07-21 16:40:28] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 16, Z= 338
[2023-07-21 16:40:40] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 16, Z= 346
[2023-07-21 16:40:51] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 16, Z= 354
[2023-07-21 16:40:53] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -125, Y= 15, Z= 87
[2023-07-21 16:40:54] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -129, Y= 15, Z= 87
[2023-07-21 16:40:55] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -131, Y= 12, Z= 86
[2023-07-21 16:41:03] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 15, Z= 363
[2023-07-21 16:41:09] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -135, Y= 14, Z= 86
[2023-07-21 16:41:10] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -139, Y= 14, Z= 86
[2023-07-21 16:41:11] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -143, Y= 13, Z= 86
[2023-07-21 16:41:13] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -146, Y= 11, Z= 86
[2023-07-21 16:41:25] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 15, Z= 371
[2023-07-21 16:41:34] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 15, Z= 379
