[2023-07-20 12:01:41] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3117, Y= 63, Z= 4403
[2023-07-20 12:01:41] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3119, Y= 63, Z= 4402
[2023-07-20 12:01:42] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3115, Y= 63, Z= 4408
[2023-07-20 12:01:43] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3113, Y= 62, Z= 4410
[2023-07-20 12:01:56] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3122, Y= 63, Z= 4408
[2023-07-20 12:01:58] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3118, Y= 62, Z= 4398
[2023-07-20 12:16:16] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3103, Y= 63, Z= 4431
[2023-07-20 12:18:38] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3083, Y= 63, Z= 4407
[2023-07-20 12:18:39] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3085, Y= 63, Z= 4403
[2023-07-20 12:18:39] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3084, Y= 60, Z= 4405
[2023-07-20 12:18:40] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3088, Y= 63, Z= 4400
[2023-07-20 12:18:40] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3091, Y= 62, Z= 4398
[2023-07-20 12:18:41] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3091, Y= 68, Z= 4400
[2023-07-20 12:18:41] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3093, Y= 61, Z= 4398
[2023-07-20 12:18:45] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3088, Y= 63, Z= 4424
[2023-07-20 12:18:57] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3045, Y= 63, Z= 4421
[2023-07-20 12:18:58] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3048, Y= 63, Z= 4423
[2023-07-20 12:18:59] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3050, Y= 62, Z= 4426
[2023-07-20 12:19:11] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3072, Y= 63, Z= 4423
[2023-07-20 12:19:12] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3070, Y= 61, Z= 4421
[2023-07-20 12:19:17] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3110, Y= 63, Z= 4404
[2023-07-20 12:19:17] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3113, Y= 61, Z= 4405
[2023-07-20 12:19:18] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3113, Y= 62, Z= 4401
[2023-07-20 12:19:19] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3110, Y= 63, Z= 4433
[2023-07-20 12:19:21] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3114, Y= 63, Z= 4435
[2023-07-20 12:19:21] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3116, Y= 60, Z= 4435
[2023-07-20 12:19:24] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3112, Y= 61, Z= 4422
[2023-07-20 12:19:31] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3116, Y= 63, Z= 4421
[2023-07-20 12:19:35] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3119, Y= 63, Z= 4416
[2023-07-20 12:19:50] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3065, Y= 63, Z= 4422
[2023-07-20 12:19:52] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3059, Y= 63, Z= 4426
[2023-07-20 12:19:53] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3056, Y= 63, Z= 4426
[2023-07-20 12:23:32] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3126, Y= 64, Z= 4434
[2023-07-20 12:23:34] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3121, Y= 64, Z= 4429
[2023-07-20 12:24:19] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3118, Y= 62, Z= 4411
[2023-07-20 12:35:46] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -3109, Y= 60, Z= 4433
[2023-07-20 12:36:35] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -3121, Y= 60, Z= 4406
[2023-07-20 12:37:34] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3098, Y= 60, Z= 4427
[2023-07-20 12:38:25] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -3102, Y= 61, Z= 4424
[2023-07-20 12:38:36] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -3103, Y= 61, Z= 4434
