[2023-07-20 18:58:22] [world] The Player <wqe123420> has crafted 9 of LAPIS LAZULI at X= -28, Y= 68, Z= -281
[2023-07-20 18:58:22] [world] The Player <wqe123420> has crafted 9 of LAPIS LAZULI at X= -28, Y= 68, Z= -281
[2023-07-20 18:58:22] [world] The Player <wqe123420> has crafted 9 of LAPIS LAZULI at X= -28, Y= 68, Z= -281
[2023-07-20 19:00:06] [world] The Player <wqe123420> has crafted 9 of DIAMOND at X= -26, Y= 63, Z= -287
[2023-07-20 19:00:30] [world] The Player <wqe123420> has crafted 1 of DIAMOND LEGGINGS at X= -28, Y= 63, Z= -287
[2023-07-20 19:05:05] [world_the_end] The Player <wqe123420> has crafted 1 of CRAFTING TABLE at X= -15, Y= 1, Z= -274
[2023-07-20 19:05:13] [world_the_end] The Player <wqe123420> has crafted 1 of DIAMOND LEGGINGS at X= -16, Y= 1, Z= -274
[2023-07-20 19:05:15] [world_the_end] The Player <wqe123420> has crafted 1 of DIAMOND LEGGINGS at X= -16, Y= 1, Z= -274
[2023-07-20 19:09:38] [world_the_end] The Player <wqe123420> has crafted 1 of DIAMOND BOOTS at X= -14, Y= 1, Z= -274
[2023-07-20 19:11:59] [world_the_end] The Player <wqe123420> has crafted 1 of DIAMOND HELMET at X= -14, Y= 1, Z= -274
[2023-07-20 19:12:56] [world_the_end] The Player <wqe123420> has crafted 9 of LAPIS LAZULI at X= -14, Y= 1, Z= -274
[2023-07-20 19:12:56] [world_the_end] The Player <wqe123420> has crafted 9 of LAPIS LAZULI at X= -14, Y= 1, Z= -274
[2023-07-20 19:12:56] [world_the_end] The Player <wqe123420> has crafted 9 of LAPIS LAZULI at X= -14, Y= 1, Z= -274
[2023-07-20 19:12:57] [world_the_end] The Player <wqe123420> has crafted 9 of LAPIS LAZULI at X= -14, Y= 1, Z= -274
[2023-07-20 19:12:57] [world_the_end] The Player <wqe123420> has crafted 9 of LAPIS LAZULI at X= -14, Y= 1, Z= -274
[2023-07-20 19:14:28] [world_the_end] The Player <wqe123420> has crafted 1 of DIAMOND HELMET at X= -15, Y= 1, Z= -274
[2023-07-20 19:53:04] [world] The Player <wqe123420> has crafted 2 of NETHERITE UPGRADE SMITHING TEMPLATE at X= -26, Y= 63, Z= -287
[2023-07-20 19:53:09] [world] The Player <wqe123420> has crafted 2 of NETHERITE UPGRADE SMITHING TEMPLATE at X= -26, Y= 63, Z= -287
[2023-07-20 19:59:17] [world] The Player <wqe123420> has crafted 2 of NETHERITE UPGRADE SMITHING TEMPLATE at X= -26, Y= 63, Z= -287
[2023-07-20 20:01:33] [world] The Player <wqe123420> has crafted 9 of NETHERITE INGOT at X= -27, Y= 63, Z= -287
[2023-07-20 20:04:37] [world] The Player <wqe123420> has crafted 2 of NETHERITE UPGRADE SMITHING TEMPLATE at X= -28, Y= 63, Z= -287
[2023-07-20 21:49:08] [world] The Player <wqe123420> has crafted 1 of SUGAR at X= 8, Y= 62, Z= -265
[2023-07-20 21:50:45] [world] The Player <wqe123420> has crafted 1 of FERMENTED SPIDER EYE at X= -27, Y= 63, Z= -288
[2023-07-20 21:54:48] [world] The Player <wqe123420> has crafted 1 of GOLDEN APPLE at X= -27, Y= 63, Z= -287
[2023-07-20 21:56:13] [world] The Player <wqe123420> has crafted 1 of GOLDEN APPLE at X= -28, Y= 63, Z= -288
[2023-07-20 22:02:34] [world] The Player <Funget114514> has crafted 3 of GLASS BOTTLE at X= -28, Y= 63, Z= -288
[2023-07-20 22:04:42] [world] The Player <wqe123420> has crafted 9 of IRON INGOT at X= -978, Y= 69, Z= -1013
[2023-07-20 22:04:56] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -980, Y= 69, Z= -1015
[2023-07-20 22:04:58] [world] The Player <wqe123420> has crafted 1 of CRAFTING TABLE at X= -980, Y= 69, Z= -1015
[2023-07-20 22:05:06] [world] The Player <Enderlava> has crafted 16 of IRON BARS at X= -978, Y= 69, Z= -1014
[2023-07-20 22:05:09] [world] The Player <wqe123420> has crafted 16 of IRON BARS at X= -980, Y= 69, Z= -1015
[2023-07-20 22:08:44] [world] The Player <Funget114514> has crafted 1 of SUGAR at X= -63, Y= 74, Z= -245
[2023-07-20 22:08:45] [world] The Player <Funget114514> has crafted 1 of SUGAR at X= -63, Y= 74, Z= -245
[2023-07-20 22:08:45] [world] The Player <Funget114514> has crafted 1 of SUGAR at X= -63, Y= 74, Z= -245
[2023-07-20 22:08:45] [world] The Player <Funget114514> has crafted 1 of SUGAR at X= -63, Y= 74, Z= -245
[2023-07-20 22:08:50] [world] The Player <Funget114514> has crafted 1 of FERMENTED SPIDER EYE at X= -63, Y= 74, Z= -245
[2023-07-20 22:17:32] [world] The Player <wqe123420> has crafted 16 of IRON BARS at X= -978, Y= 69, Z= -1012
[2023-07-20 22:17:33] [world] The Player <wqe123420> has crafted 16 of IRON BARS at X= -978, Y= 69, Z= -1012
[2023-07-20 22:24:28] [world] The Player <wqe123420> has crafted 9 of EMERALD at X= -977, Y= 64, Z= -1009
[2023-07-20 22:24:29] [world] The Player <wqe123420> has crafted 9 of EMERALD at X= -977, Y= 64, Z= -1009
