[2023-07-23 14:58:02] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 56, Z= 2
[2023-07-23 14:58:02] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -1, Y= 56, Z= 2
[2023-07-23 14:58:03] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 56, Z= 2
[2023-07-23 14:58:04] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 55, Z= 2
[2023-07-23 14:58:04] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -1, Y= 55, Z= 2
[2023-07-23 14:58:04] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 55, Z= 2
[2023-07-23 14:58:05] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -1, Y= 57, Z= 2
[2023-07-23 14:58:05] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 57, Z= 2
[2023-07-23 14:58:06] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 1, Y= 57, Z= 2
[2023-07-23 14:58:07] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 1, Y= 56, Z= 2
[2023-07-23 14:58:08] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 2, Y= 60, Z= 2
[2023-07-23 14:58:09] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 2, Y= 57, Z= 2
[2023-07-23 14:58:09] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 2, Y= 57, Z= 1
[2023-07-23 14:58:12] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 2, Y= 56, Z= 2
[2023-07-23 14:58:15] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 55, Z= 0
[2023-07-23 14:58:16] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 3, Y= 55, Z= -1
[2023-07-23 14:58:22] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 58, Z= 3
[2023-07-23 14:58:22] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 57, Z= 3
[2023-07-23 14:58:23] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 58, Z= 3
[2023-07-23 14:58:24] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 57, Z= 3
[2023-07-23 14:58:24] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 58, Z= 3
[2023-07-23 14:58:25] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 58, Z= 3
[2023-07-23 14:58:26] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 57, Z= 3
[2023-07-23 14:58:26] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -2, Y= 57, Z= 3
