[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 15, Z= 5
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 15, Z= 4
[2023-07-19 12:02:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 15, Z= 3
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 15, Z= 2
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 15, Z= 2
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 16, Z= 3
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -7, Y= 16, Z= 3
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -7, Y= 16, Z= 4
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -6, Y= 16, Z= 4
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -7, Y= 16, Z= 5
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -6, Y= 16, Z= 5
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -5, Y= 16, Z= 4
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -6, Y= 16, Z= 3
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -7, Y= 16, Z= 2
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 16, Z= 2
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 16, Z= 1
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 16, Z= 1
[2023-07-19 12:02:52] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 16, Z= 0
[2023-07-19 12:02:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -9, Y= 16, Z= 0
[2023-07-19 12:02:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 15, Z= 1
[2023-07-19 12:02:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 15, Z= 2
[2023-07-19 12:02:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 15, Z= 3
[2023-07-19 12:02:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -8, Y= 15, Z= 4
[2023-07-19 12:02:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -7, Y= 15, Z= 4
[2023-07-19 12:02:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -6, Y= 15, Z= 4
[2023-07-19 12:03:35] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 16, Z= 0
[2023-07-19 12:03:43] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -14, Y= 16, Z= 10
[2023-07-19 12:03:43] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -15, Y= 16, Z= 10
[2023-07-19 12:03:44] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -16, Y= 16, Z= 10
[2023-07-19 12:03:44] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -16, Y= 16, Z= 11
[2023-07-19 12:03:44] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -17, Y= 16, Z= 10
[2023-07-19 12:03:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -17, Y= 16, Z= 10
[2023-07-19 12:03:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -18, Y= 16, Z= 10
[2023-07-19 12:04:45] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -7, Y= 16, Z= 12
[2023-07-19 12:04:45] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -7, Y= 15, Z= 12
[2023-07-19 12:04:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -6, Y= 16, Z= 12
[2023-07-19 12:04:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -6, Y= 15, Z= 12
[2023-07-19 12:04:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -5, Y= 15, Z= 12
[2023-07-19 12:04:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -4, Y= 15, Z= 12
[2023-07-19 12:04:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -5, Y= 14, Z= 12
[2023-07-19 12:04:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -4, Y= 14, Z= 12
[2023-07-19 12:04:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -3, Y= 14, Z= 12
[2023-07-19 12:04:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -3, Y= 15, Z= 12
[2023-07-19 12:04:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -4, Y= 16, Z= 12
[2023-07-19 12:04:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -2, Y= 15, Z= 12
[2023-07-19 12:04:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -3, Y= 16, Z= 12
