[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -29, Y= 104, Z= -27
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 103, Z= -29
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 102, Z= -29
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 102, Z= -30
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -29, Y= 104, Z= -28
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 104, Z= -28
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 103, Z= -30
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 102, Z= -31
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -29, Y= 104, Z= -29
[2023-08-09 09:59:54] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 104, Z= -29
[2023-08-09 09:59:55] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -30, Y= 103, Z= -31
[2023-08-09 09:59:55] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -31, Y= 103, Z= -31
[2023-08-09 09:59:55] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -31, Y= 103, Z= -30
[2023-08-09 09:59:55] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -31, Y= 102, Z= -30
[2023-08-09 09:59:55] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -31, Y= 102, Z= -31
[2023-08-09 09:59:55] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -31, Y= 103, Z= -29
[2023-08-09 09:59:55] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -31, Y= 101, Z= -30
[2023-08-09 09:59:55] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -31, Y= 101, Z= -31
[2023-08-09 09:59:56] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -31, Y= 102, Z= -32
