[2023-07-17 09:13:24] [world] The Player <Enderlava> has broke JUNGLE_PLANKS at X= 1074, Y= 202, Z= -195
[2023-07-17 09:13:24] [world] The Player <Enderlava> has broke JUNGLE_PLANKS at X= 1073, Y= 202, Z= -195
[2023-07-17 09:13:26] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1075, Y= 203, Z= -194
[2023-07-17 09:16:44] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1075, Y= 203, Z= -193
[2023-07-17 09:16:45] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1076, Y= 203, Z= -193
[2023-07-17 09:16:45] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1077, Y= 203, Z= -193
[2023-07-17 09:16:45] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1078, Y= 203, Z= -193
[2023-07-17 09:16:46] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1079, Y= 203, Z= -193
[2023-07-17 09:16:46] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1080, Y= 203, Z= -193
[2023-07-17 09:17:03] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1081, Y= 203, Z= -192
[2023-07-17 09:17:04] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1080, Y= 203, Z= -192
[2023-07-17 09:17:04] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1080, Y= 202, Z= -192
[2023-07-17 09:17:05] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1079, Y= 202, Z= -192
[2023-07-17 09:17:05] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1079, Y= 201, Z= -192
[2023-07-17 09:17:06] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1078, Y= 201, Z= -192
[2023-07-17 09:17:07] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1077, Y= 201, Z= -192
[2023-07-17 09:17:07] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1076, Y= 201, Z= -192
[2023-07-17 09:17:07] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1074, Y= 201, Z= -192
[2023-07-17 09:17:08] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1075, Y= 201, Z= -192
[2023-07-17 09:17:08] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1074, Y= 201, Z= -193
[2023-07-17 09:17:08] [world] The Player <Enderlava> has broke WHITE_WOOL at X= 1074, Y= 201, Z= -194
[2023-07-17 09:17:26] [world] The Player <Enderlava> has broke JUNGLE_PLANKS at X= 1075, Y= 202, Z= -195
[2023-07-17 09:17:35] [world] The Player <Enderlava> has broke HOPPER at X= 1075, Y= 203, Z= -195
[2023-07-17 09:17:59] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1075, Y= 201, Z= -192
[2023-07-17 09:18:07] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1075, Y= 200, Z= -194
[2023-07-17 09:18:08] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1075, Y= 200, Z= -193
[2023-07-17 09:18:24] [world] The Player <Enderlava> has broke REPEATER at X= 1075, Y= 201, Z= -192
[2023-07-17 09:18:33] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= 1075, Y= 203, Z= -194
[2023-07-17 09:19:16] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1075, Y= 204, Z= -194
[2023-07-17 09:19:17] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1075, Y= 204, Z= -193
[2023-07-17 09:19:24] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1076, Y= 204, Z= -194
[2023-07-17 09:19:25] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1076, Y= 204, Z= -193
[2023-07-17 09:19:26] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1077, Y= 204, Z= -194
[2023-07-17 09:19:26] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1077, Y= 204, Z= -193
[2023-07-17 09:19:29] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1078, Y= 204, Z= -194
[2023-07-17 09:19:29] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1078, Y= 204, Z= -193
[2023-07-17 09:19:30] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1079, Y= 204, Z= -193
[2023-07-17 09:19:30] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1079, Y= 204, Z= -194
[2023-07-17 09:19:30] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1080, Y= 204, Z= -194
