[2023-07-22 13:00:31] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -55, Y= 9, Z= -114
[2023-07-22 13:00:31] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -56, Y= 9, Z= -114
[2023-07-22 13:00:31] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -56, Y= 9, Z= -115
[2023-07-22 13:00:32] [world_nether] The Player <wqe123420> has broke ANCIENT_DEBRIS at X= -55, Y= 10, Z= -114
[2023-07-22 13:00:32] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -56, Y= 10, Z= -114
[2023-07-22 13:06:25] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 98, Z= -32
[2023-07-22 13:06:25] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 98, Z= -32
[2023-07-22 13:06:25] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 98, Z= -33
[2023-07-22 13:06:25] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 98, Z= -33
[2023-07-22 13:06:25] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -33
[2023-07-22 13:06:25] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 98, Z= -34
[2023-07-22 13:06:25] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -34
[2023-07-22 13:06:25] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -35
[2023-07-22 13:06:25] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -36
[2023-07-22 13:06:25] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -37
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 98, Z= -35
[2023-07-22 13:06:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -37
