[2023-07-21 16:22:17] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -58
[2023-07-21 16:22:17] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -57
[2023-07-21 16:22:17] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -56
[2023-07-21 16:22:17] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 14, Z= -56
[2023-07-21 16:22:17] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 14, Z= -55
[2023-07-21 16:22:18] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 16, Z= -57
[2023-07-21 16:22:18] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 14, Z= -54
[2023-07-21 16:22:18] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -55
[2023-07-21 16:22:18] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 16, Z= -56
[2023-07-21 16:22:18] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -54
[2023-07-21 16:22:18] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 16, Z= -55
[2023-07-21 16:22:19] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -53
[2023-07-21 16:22:20] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 16, Z= -54
[2023-07-21 16:22:20] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 16, Z= -53
[2023-07-21 16:22:20] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 17, Z= -53
[2023-07-21 16:22:20] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 16, Z= -52
[2023-07-21 16:22:20] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 16, Z= -51
[2023-07-21 16:22:21] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 17, Z= -52
[2023-07-21 16:22:21] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 17, Z= -51
[2023-07-21 16:22:21] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 17, Z= -50
[2023-07-21 16:22:21] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 18, Z= -50
[2023-07-21 16:22:21] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 18, Z= -49
[2023-07-21 16:22:33] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -69, Y= 17, Z= -49
[2023-07-21 16:22:33] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -69, Y= 17, Z= -48
[2023-07-21 16:22:44] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= -65, Y= 17, Z= -45
