[2023-07-20 10:58:28] [world] The Player <wqe123420> has broke SAND at X= -1004, Y= 65, Z= -969
[2023-07-20 10:58:28] [world] The Player <wqe123420> has broke SAND at X= -1004, Y= 65, Z= -968
[2023-07-20 10:58:28] [world] The Player <wqe123420> has broke SAND at X= -1003, Y= 65, Z= -969
[2023-07-20 10:58:28] [world] The Player <wqe123420> has broke SAND at X= -1003, Y= 66, Z= -969
[2023-07-20 10:58:28] [world] The Player <wqe123420> has broke SAND at X= -1003, Y= 66, Z= -971
[2023-07-20 10:58:29] [world] The Player <wqe123420> has broke SAND at X= -1002, Y= 65, Z= -971
[2023-07-20 10:58:29] [world] The Player <wqe123420> has broke SAND at X= -1000, Y= 64, Z= -971
[2023-07-20 10:58:29] [world] The Player <wqe123420> has broke SAND at X= -1001, Y= 65, Z= -970
[2023-07-20 10:58:29] [world] The Player <wqe123420> has broke SAND at X= -1003, Y= 65, Z= -969
[2023-07-20 10:58:29] [world] The Player <wqe123420> has broke SAND at X= -1003, Y= 66, Z= -968
[2023-07-20 10:58:29] [world] The Player <wqe123420> has broke SAND at X= -1003, Y= 65, Z= -968
[2023-07-20 10:58:29] [world] The Player <wqe123420> has broke SAND at X= -1003, Y= 65, Z= -967
[2023-07-20 10:58:29] [world] The Player <wqe123420> has broke SAND at X= -1002, Y= 65, Z= -969
[2023-07-20 10:58:29] [world] The Player <wqe123420> has broke SAND at X= -1002, Y= 65, Z= -968
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1002, Y= 65, Z= -967
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1002, Y= 64, Z= -968
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1002, Y= 64, Z= -969
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1002, Y= 64, Z= -970
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1001, Y= 64, Z= -970
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1001, Y= 63, Z= -970
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1000, Y= 64, Z= -970
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -999, Y= 65, Z= -970
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1001, Y= 66, Z= -968
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1002, Y= 65, Z= -968
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1002, Y= 65, Z= -969
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1001, Y= 65, Z= -969
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1000, Y= 65, Z= -969
[2023-07-20 10:58:30] [world] The Player <wqe123420> has broke SAND at X= -1000, Y= 65, Z= -968
[2023-07-20 10:58:31] [world] The Player <wqe123420> has broke SAND at X= -1001, Y= 65, Z= -969
[2023-07-20 10:58:31] [world] The Player <wqe123420> has broke SAND at X= -999, Y= 65, Z= -969
[2023-07-20 10:58:31] [world] The Player <wqe123420> has broke SAND at X= -998, Y= 65, Z= -969
[2023-07-20 10:58:32] [world] The Player <wqe123420> has broke SAND at X= -1000, Y= 64, Z= -969
[2023-07-20 10:58:32] [world] The Player <wqe123420> has broke SAND at X= -1001, Y= 64, Z= -969
[2023-07-20 10:58:32] [world] The Player <wqe123420> has broke SAND at X= -999, Y= 64, Z= -969
[2023-07-20 10:58:32] [world] The Player <wqe123420> has broke SAND at X= -1001, Y= 65, Z= -968
[2023-07-20 10:58:32] [world] The Player <wqe123420> has broke SAND at X= -1001, Y= 64, Z= -968
[2023-07-20 10:58:32] [world] The Player <wqe123420> has broke SAND at X= -1001, Y= 65, Z= -967
[2023-07-20 10:58:32] [world] The Player <wqe123420> has broke SAND at X= -1001, Y= 64, Z= -967
[2023-07-20 10:58:32] [world] The Player <wqe123420> has broke SAND at X= -1000, Y= 66, Z= -967
[2023-07-20 10:58:32] [world] The Player <wqe123420> has broke SAND at X= -999, Y= 66, Z= -967
[2023-07-20 10:58:32] [world] The Player <wqe123420> has broke SAND at X= -999, Y= 66, Z= -966
[2023-07-20 10:58:33] [world] The Player <wqe123420> has broke SAND at X= -1000, Y= 65, Z= -968
[2023-07-20 10:58:33] [world] The Player <wqe123420> has broke SAND at X= -1000, Y= 64, Z= -968
[2023-07-20 10:58:33] [world] The Player <wqe123420> has broke SAND at X= -999, Y= 65, Z= -968
[2023-07-20 10:58:33] [world] The Player <wqe123420> has broke SAND at X= -999, Y= 64, Z= -968
[2023-07-20 10:58:33] [world] The Player <wqe123420> has broke SAND at X= -999, Y= 65, Z= -967
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -999, Y= 64, Z= -968
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -998, Y= 64, Z= -968
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -998, Y= 64, Z= -969
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -997, Y= 64, Z= -969
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -997, Y= 63, Z= -969
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -997, Y= 63, Z= -970
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -998, Y= 64, Z= -970
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -999, Y= 64, Z= -970
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -999, Y= 64, Z= -971
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -998, Y= 64, Z= -971
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -998, Y= 63, Z= -972
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -997, Y= 63, Z= -972
[2023-07-20 10:58:34] [world] The Player <wqe123420> has broke SAND at X= -998, Y= 63, Z= -971
[2023-07-20 10:58:35] [world] The Player <wqe123420> has broke SAND at X= -998, Y= 64, Z= -970
[2023-07-20 10:58:35] [world] The Player <wqe123420> has broke SAND at X= -997, Y= 64, Z= -971
[2023-07-20 10:58:35] [world] The Player <wqe123420> has broke SAND at X= -997, Y= 63, Z= -971
[2023-07-20 10:58:35] [world] The Player <wqe123420> has broke SAND at X= -996, Y= 63, Z= -971
[2023-07-20 10:58:35] [world] The Player <wqe123420> has broke SAND at X= -997, Y= 64, Z= -970
[2023-07-20 10:58:35] [world] The Player <wqe123420> has broke SAND at X= -997, Y= 63, Z= -970
[2023-07-20 10:58:35] [world] The Player <wqe123420> has broke SAND at X= -996, Y= 64, Z= -970
[2023-07-20 10:58:35] [world] The Player <wqe123420> has broke SAND at X= -996, Y= 64, Z= -972
[2023-07-20 10:58:35] [world] The Player <wqe123420> has broke SAND at X= -995, Y= 63, Z= -972
[2023-07-20 10:58:36] [world] The Player <wqe123420> has broke SAND at X= -995, Y= 63, Z= -971
