[2023-07-11 11:27:03] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 74, Z= -323
[2023-07-11 11:27:03] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 74, Z= -323
[2023-07-11 11:27:04] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 74, Z= -323
[2023-07-11 11:27:04] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 75, Z= -323
[2023-07-11 11:27:04] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 75, Z= -323
[2023-07-11 11:27:04] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 75, Z= -323
[2023-07-11 11:27:05] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 75, Z= -323
[2023-07-11 11:27:06] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 11, Y= 76, Z= -323
[2023-07-11 11:27:11] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 13, Y= 73, Z= -321
[2023-07-11 11:27:11] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 13, Y= 73, Z= -321
[2023-07-11 11:27:11] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 13, Y= 73, Z= -321
[2023-07-11 11:27:11] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 13, Y= 73, Z= -321
[2023-07-11 11:27:12] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 13, Y= 73, Z= -321
[2023-07-11 11:27:12] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 13, Y= 73, Z= -321
[2023-07-11 11:27:13] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 13, Y= 74, Z= -321
[2023-07-11 11:27:13] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 13, Y= 75, Z= -321
[2023-07-11 11:27:15] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 13, Y= 76, Z= -321
[2023-07-11 11:27:21] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 12, Y= 73, Z= -318
[2023-07-11 11:27:21] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 12, Y= 73, Z= -318
[2023-07-11 11:27:21] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 12, Y= 73, Z= -318
[2023-07-11 11:27:21] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 12, Y= 73, Z= -318
[2023-07-11 11:27:22] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 12, Y= 73, Z= -318
[2023-07-11 11:27:22] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 12, Y= 73, Z= -318
[2023-07-11 11:27:22] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 12, Y= 74, Z= -318
[2023-07-11 11:27:23] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 12, Y= 74, Z= -318
[2023-07-11 11:27:24] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 12, Y= 75, Z= -318
[2023-07-11 11:27:25] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 12, Y= 75, Z= -318
[2023-07-11 11:27:32] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:32] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 75, Z= -316
[2023-07-11 11:27:34] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 75, Z= -316
[2023-07-11 11:27:34] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 75, Z= -316
[2023-07-11 11:27:34] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 75, Z= -316
[2023-07-11 11:27:34] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:35] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:35] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:35] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:35] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:36] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:36] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:36] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:36] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:37] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:37] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:37] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 74, Z= -316
[2023-07-11 11:27:37] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 75, Z= -316
[2023-07-11 11:27:37] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 75, Z= -316
[2023-07-11 11:27:38] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 75, Z= -316
[2023-07-11 11:27:38] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 75, Z= -316
[2023-07-11 11:27:38] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 75, Z= -316
[2023-07-11 11:27:38] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 75, Z= -316
[2023-07-11 11:27:38] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 76, Z= -316
[2023-07-11 11:27:39] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 76, Z= -316
[2023-07-11 11:27:39] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 76, Z= -316
[2023-07-11 11:27:41] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 77, Z= -316
[2023-07-11 11:27:42] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 10, Y= 77, Z= -316
[2023-07-11 11:32:43] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 7, Y= 80, Z= -323
[2023-07-11 11:32:48] [world] The Player <Enderlava> has emptied WATER BUCKET at X= 9, Y= 80, Z= -324
